*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
la el DA0FS0 0.972269
presente presente NCMS000 0.647436
tiene tener VMIP3S0 1
como como CS 0.999289
finalidad finalidad NCFS000 1
darle_a_conocer dar_a_conocer VMN0000 1
nuestra nuestro DP1FSP 0.900485
iniciativa iniciativa NCFS000 0.48752
en en SPS00 1
cuando cuando CS 0.985595
a a SPS00 0.996023
la el DA0FS0 0.972269
elaboración elaboración NCFS000 1
y y CC 0.999962
ejecución ejecución NCFS000 1
de de SPS00 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
esta este DD0FS0 0.986779
propuesta propuesta NCFS000 0.458238
en_materia_de en_materia_de SPS00 1
transferencia transferencia NCFS000 1
de de SPS00 0.999984
poder poder NCMS000 0.718254
para para SPS00 0.999103
desarrollar desarrollar VMN0000 1
se se PP3CN000 1
en en SPS00 1
el el DA0MS0 1
municipio municipio NCMS000 1
cristóbal cristóbal AQ0CS0 1
rojas rojo AQ0FP0 1
de de SPS00 0.999984
charallave charallave NCFS000 1
en en SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
miranda miranda NCFS000 1
el el DA0MS0 1
cual cual PR0CS000 0.913223
consiste consistir VMIP3S0 0.990196
en en SPS00 1
la el DA0FS0 0.972269
siguiente siguiente AQ0CS0 1
descripción descripción NCFS000 1
a a SPS00 0.996023
continuación continuación NCFS000 1
: : Fd 1
brigada brigada NCFS000 1
comunitaria comunitario AQ0FS0 1
de de SPS00 0.999984
recolección recolección NCFS000 1
de de SPS00 0.999984
basura basura NCFS000 1
para para SPS00 0.999103
beneficio beneficio NCMS000 0.973497
en en SPS00 1
varias varios DI0FP0 0.980583
zonas zona NCFP000 1
de de SPS00 1
el el DA0MS0 1
municipio municipio NCMS000 1
cristóbal cristóbal AQ0CS0 1
rojas rojo AQ0FP0 1
de de SPS00 1
el el DA0MS0 1
estado estado NCMS000 0.665746
miranda miranda NCFS000 1
una uno DI0FS0 0.951575
forma forma NCFS000 0.970944
de de SPS00 0.999984
controlar controlar VMN0000 1
esta este DD0FS0 0.986779
problemática problemática NCFS000 0.402709
seria serio AQ0FS0 0.841237
, , Fc 1
crear crear VMN0000 1
brigadas brigada NCFP000 1
comunitarias comunitario AQ0FP0 1
que que PR0CN000 0.562517
se se P00CN000 0.465639
encargan encargar VMIP3P0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
recolección recolección NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
basura basura NCFS000 1
y y CC 0.999962
cambiar cambiar VMN0000 1
el el DA0MS0 1
punto punto NCMS000 1
donde donde PR000000 0.967437
se se P00CN000 0.465639
encuentra encontrar VMIP3S0 0.994186
actualmente actualmente RG 1
el el DA0MS0 1
botadero botadero AQ0MS0 1
, , Fc 1
como como CS 0.999289
también también RG 1
lo lo PP3CNA00 0.271177
puede poder VMIP3S0 0.999117
ser ser VSN0000 0.940705
dichas decir VMP00PF 0.491767
charlas charla NCFP000 0.973497
a a SPS00 0.996023
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
donde donde PR000000 0.967437
se se P00CN000 0.465639
expliquen explicar VMSP3P0 0.885893
las el DA0FP0 0.970954
causas causa NCFP000 0.973497
y y CC 0.999962
sobre sobre SPS00 0.997091
todo todo DI0MS0 0.560961
las el DA0FP0 0.970954
graves grave AQ0CP0 0.974074
consecuencias consecuencia NCFP000 1
que que PR0CN000 0.562517
trae traer VMIP3S0 0.994868
consigo conseguir VMIP1S0 0.657312
la el DA0FS0 0.972269
acumulación acumulación NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
basura basura NCFS000 1
, , Fc 1
para para SPS00 0.999103
poder poder VMN0000 0.281746
así así RG 0.998812
dirigir dirigir VMN0000 1
se se PP3CN000 1
a a SPS00 0.996023
los el DA0MP0 0.976481
entes ente NCMP000 1
correspondientes correspondiente AQ0CP0 0.477279
para para SPS00 0.999103
que que CS 0.437483
autoricen autorizar VMSP3P0 0.885893
rutas ruta NCFP000 1
, , Fc 1
para para SPS00 0.999103
los el DA0MP0 0.976481
camiones camión NCMP000 1
recolectores recolector AQ0MP0 0.357282
de de SPS00 0.999984
basura basura NCFS000 1
a a SPS00 0.996023
dichas decir VMP00PF 0.491767
comunidades comunidad NCFP000 1
o o CC 0.999769
sectores sector NCMP000 1
que que PR0CN000 0.562517
las lo PP3FPA00 0.0289466
necesiten necesitar VMSP3P0 0.885893
. . Fp 1

1.1 1.1 Z 1
planteamiento planteamiento NCMS000 1
de de SPS00 1
el el DA0MS0 1
problema problema NCMS000 1
: : Fd 1
la el DA0FS0 0.972269
contaminación contaminación NCFS000 1
de de SPS00 1
el el DA0MS0 1
medio medio AQ0MS0 0.314286
ambiente ambiente NCMS000 0.927273
ocasionada ocasionar VMP00SF 1
por por SPS00 1
actividades actividad NCFP000 1
antropológicas antropológico AQ0FP0 1
, , Fc 1
es ser VSIP3S0 1
un uno DI0MS0 0.987295
problema problema NCMS000 1
complejo complejo AQ0MS0 0.1875
, , Fc 1
y y CC 0.999962
de de SPS00 0.999984
proporciones proporción NCFP000 0.995706
mundiales mundial AQ0CP0 0.557257
, , Fc 1
políticas político AQ0FP0 0.972603
, , Fc 1
económicas económico AQ0FP0 1
, , Fc 1
científicas científico AQ0FP0 0.65727
, , Fc 1
tecnológicas tecnológico AQ0FP0 1
y y CC 0.999962
culturales cultural AQ0CP0 1
que que PR0CN000 0.562517
interactúan interactuar VMIP3P0 1
de de SPS00 0.999984
una uno DI0FS0 0.951575
manera manera NCFS000 1
tan tan RG 1
estrecha estrecho AQ0FS0 0.841237
que que CS 0.437483
muchas mucho DI0FP0 0.826705
veces vez NCFP000 1
dificultan dificultar VMIP3P0 1
la el DA0FS0 0.972269
ejecución ejecución NCFS000 1
de de SPS00 0.999984
acciones acción NCFP000 0.980769
correctivas correctivo AQ0FP0 1
, , Fc 1
y y CC 0.999962
mundial mundial AQ0CS0 0.983871
por por SPS00 1
que que PR0CN000 0.562517
prácticamente prácticamente RG 1
no no RN 0.998134
hay haber VMIP3S0 1
lugar lugar NCMS000 1
en en SPS00 1
el el DA0MS0 1
planeta planeta NCMS000 1
quien quien PR0CS000 1
escape escapar VMSP3S0 0.0587719
a a SPS00 0.996023
sus su DP3CP0 0.999692
consecuencias consecuencia NCFP000 1
. . Fp 1

en en SPS00 1
las el DA0FP0 0.970954
comunidades comunidad NCFP000 1
: : Fd 1
( ( Fpa 1
la el DA0FS0 0.972269
horquilla horquilla NCFS000 1
parte parte NCFS000 0.499183
alta alto AQ0FS0 0.993827
y y CC 0.999962
baja bajo AQ0FS0 0.959459
, , Fc 1
guraciripa guraciripa NCFS000 1
sector sector NCMS000 1
a a SPS00 0.996023
, , Fc 1
