*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
gestión gestión NCFS000 1
perfecta perfecto AQ0FS0 1
...................... ...................... Fz 1
. . Fp 1
- - Fg 1
sí sí PP3CNO00 0.460026
logramos lograr VMIP1P0 0.649988
que que CS 0.437483
la el DA0FS0 0.972269
industria industria NCFS000 0.939394
petroquímica petroquímico AQ0FS0 0.65727
fabrique fabricar VMSP3S0 0.618942
un uno DI0MS0 0.987295
polímero polímero NCMS000 1
, , Fc 1
con con SPS00 1
las el DA0FP0 0.970954
condiciones condición NCFP000 0.991071
mecánicas mecánico AQ0FP0 0.539714
necesarias necesario AQ0FP0 1
, , Fc 1
que que CS 0.437483
nos nos PP1CP000 0.935743
permita permitir VMSP3S0 0.618942
con con SPS00 1
una uno DI0FS0 0.951575
maquina maquinar VMIP3S0 0.994866
extrusora extrusora NCFS000 0.557792
y y CC 0.999962
un uno DI0MS0 0.987295
molde molde NCMS000 0.918696
dar dar VMN0000 1
le le PP3CSD00 1
forma forma NCFS000 0.970944
a a SPS00 0.996023
una uno DI0FS0 0.951575
barra barra NCFS000 0.451968
maciza macizo AQ0FS0 0.589232
de de SPS00 0.999984
plástico plástico NCMS000 0.788462
de de SPS00 0.999984
12 12 Z 1
x x NCFS000 1
0,30 0.3 Z 1
x x NCFS000 1
0,30 0.3 Z 1
mts mts NCMP000 0.80004
. . Fp 1
, , Fc 1
es ser VSIP3S0 1
posible posible AQ0CS0 1
que que CS 0.437483
las el DA0FP0 0.970954
comunidades comunidad NCFP000 1
conformen conformar VMSP3P0 0.885893
carpinterías carpintería NCFP000 1
de de SPS00 1
el el DA0MS0 1
plástico plástico NCMS000 0.788462
y y CC 0.999962
así así RG 0.998812
producir producir VMN0000 1
diferentes diferente AQ0CP0 1
perfiles perfil NCMP000 0.995706
para para SPS00 0.999103
la el DA0FS0 0.972269
construcción construcción NCFS000 1
de de SPS00 0.999984
diferentes diferente AQ0CP0 1
obras obra NCFP000 0.986111
comunales comunal AQ0CP0 1
como como CS 0.999289
escaleras escalera NCFP000 1
, , Fc 1
torrenteras torrentera NCFP000 1
, , Fc 1
embaulados embaular VMP00PM 1
, , Fc 1
canalizaciones canalización NCFP000 1
y y CC 0.999962
cualquier cualquiera DI0CS0 1
otro otro DI0MS0 0.612994
tipo tipo NCMS000 1
de de SPS00 0.999984
instalaciones instalación NCFP000 1
, , Fc 1
incluyendo incluir VMG0000 1
viviendas vivienda NCFP000 1
, , Fc 1
con con SPS00 1
las el DA0FP0 0.970954
mismas mismo AQ0FP0 0.983871
