*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
el el DA0MS0 1
macroproyecto macroproyecto NCMS000 1
" " Fe 1
rescate rescate NCMS000 0.8587
de de SPS00 0.999984
ciudad ciudad NCFS000 1
alianza alianza NCFS000 1
" " Fe 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
“ “ Fz 1
rescate rescate NCMS000 0.8587
de de SPS00 0.999984
ciudad ciudad NCFS000 1
alianza alianza NCFS000 1
” ” Fz 1
, , Fc 1
es ser VSIP3S0 1
el el DA0MS0 1
resultado resultado NCMS000 0.827869
de de SPS00 1
el el DA0MS0 1
análisis análisis NCMN000 1
y y CC 0.999962
diagnóstico diagnóstico NCMS000 0.64273
levantado levantar VMP00SM 1
de de SPS00 0.999984
la el DA0FS0 0.972269
parroquia parroquia NCFS000 1
ciudad ciudad NCFS000 1
alianza alianza NCFS000 1
, , Fc 1
el el DA0MS0 1
segundo 2 AO0MS0 0.755869
ciclo ciclo NCMS000 0.973497
de de SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
cumplido cumplir VMP00SM 0.738095
, , Fc 1
como como CS 0.999289
respuesta respuesta NCFS000 1
a a SPS00 1
el el DA0MS0 1
plan plan NCMS000 1
comunitario comunitario AQ0MS0 1
elaborado elaborar VMP00SM 1
por por SPS00 1
el el DA0MS0 1
poder poder NCMS000 0.718254
popular popular AQ0CS0 1
, , Fc 1
la el DA0FS0 0.972269
comuna comuna NCFS000 1
en en SPS00 1
construcción construcción NCFS000 1
, , Fc 1
formulación formulación NCFS000 1
que que PR0CN000 0.562517
tiene tener VMIP3S0 1
como como CS 0.999289
propósito propósito NCMS000 1
la el DA0FS0 0.972269
satisfacción satisfacción NCFS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
necesidades necesidad NCFP000 1
planteadas plantear VMP00PF 1
de de SPS00 0.999984
manera manera NCFS000 1
prioritaria prioritario AQ0FS0 1
, , Fc 1
a a SPS00 0.996023
la el DA0FS0 0.972269
autodeterminación autodeterminación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
integrantes integrante NCCP000 0.56768
de de SPS00 0.999984
ocho 8 Z 1
consejos consejo NCMP000 1
comunales comunal AQ0CP0 1
que que PR0CN000 0.562517
conforman conformar VMIP3P0 1
la el DA0FS0 0.972269
parroquia parroquia NCFS000 1
ciudad ciudad NCFS000 1
alianza alianza NCFS000 1
, , Fc 1
en_virtud_de en_virtud_de SPS00 1
la el DA0FS0 0.972269
investigación investigación NCFS000 1
descriptiva descriptivo AQ0FS0 1
elaborada elaborar VMP00SF 1
en en SPS00 1
las el DA0FP0 0.970954
asambleas asamblea NCFP000 1
de de SPS00 0.999984
ciudadanos ciudadano NCMP000 0.64273
y y CC 0.999962
ciudadanas ciudadano NCFP000 0.544793
, , Fc 1
quienes quien PR0CP000 1
uniendo unir VMG0000 1
esfuerzos esfuerzo NCMP000 1
, , Fc 1
se se P00CN000 0.465639
proponen proponer VMIP3P0 1
la el DA0FS0 0.972269
consecución consecución NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
objetivos objetivo NCMP000 0.64273
y y CC 0.999962
metas meta NCFP000 0.995706
planteadas plantear VMP00PF 1
, , Fc 1
los el DA0MP0 0.976481
cuales cual PR0CP000 1
se se P00CN000 0.465639
traducirán traducir VMIF3P0 1
en en SPS00 1
el el DA0MS0 1
mejoramiento mejoramiento NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
infraestructura infraestructura NCFS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
viviendas vivienda NCFP000 1
, , Fc 1
asfaltado asfaltar VMP00SM 0.477563
de de SPS00 0.999984
las el DA0FP0 0.970954
calles calle NCFP000 0.990196
, , Fc 1
reconstrucción reconstrucción NCFS000 1
de de SPS00 0.999984
aceras acera NCFP000 0.973497
, , Fc 1
brocales brocal NCMP000 1
y y CC 0.999962
canales canal NCMP000 1
de de SPS00 0.999984
lluvia lluvia NCFS000 1
, , Fc 1
