*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
proyecto proyecto NCMS000 0.986111
de de SPS00 0.999984
implementación implementación NCFS000 1
de de SPS00 0.999984
una uno DI0FS0 0.951575
red red NCFS000 1
de de SPS00 0.999984
laboratorios laboratorio NCMP000 1
móviles móvil AQ0CP0 0.35727
de de SPS00 0.999984
prestación prestación NCFS000 1
de de SPS00 0.999984
servicios servicio NCMP000 1
de de SPS00 0.999984
ingeniería ingeniería NCFS000 1
en en SPS00 1
confiabilidad confiabilidad NCFS000 1
operacional operacional AQ0CS0 1
en en SPS00 1
las el DA0FP0 0.970954
áreas área NCFP000 1
de de SPS00 0.999984
investigación investigación NCFS000 1
: : Fd 1
termográfia termográfia NCFS000 0.817093
infraroja infrarojo AQ0FS0 1
, , Fc 1
tribología tribología NCFS000 1
, , Fc 1
análisis análisis NCMN000 1
de de SPS00 0.999984
vibraciones vibración NCFP000 1
, , Fc 1
inspección inspección NCFS000 1
integral integral AQ0CS0 0.6277
predictiva predictivo AQ0FS0 1
, , Fc 1
instrumentación instrumentación NCFS000 1
, , Fc 1
control control NCMS000 1
de de SPS00 0.999984
procesos proceso NCMP000 1
, , Fc 1
alineación alineación NCFS000 1
laser laser NCMS000 0.85315
, , Fc 1
balanceo balanceo NCMS000 0.831653
en en SPS00 1
equipos equipo NCMP000 1
rotativos rotativo AQ0MP0 0.507252
, , Fc 1
ultrasonido ultrasonido NCMS000 1
y y CC 0.999962
agrotecnología agrotecnología NCFS000 1
, , Fc 1
como como CS 0.999289
soporte soporte NCMS000 0.918697
a a SPS00 0.996023
el el DA0MS0 1
segundo 2 AO0MS0 0.755869
plan plan NCMS000 1
socialista socialista AQ0CS0 0.59727
de de SPS00 0.999984
desarrollo desarrollo NCMS000 0.992424
nacional nacional AQ0CS0 1
2013-2019 2013-2019 Z 1
. . Fp 1

inspección inspección NCFS000 1
mediante mediante SPS00 0.987805
termografía termografía NCFS000 1
infrarroja infrarrojo AQ0FS0 1
; ; Fx 1
contamos contar VMIP1P0 0.649991
con con SPS00 1
equipos equipo NCMP000 1
certificados certificar VMP00PM 0.691767
que que PR0CN000 0.562517
manejan manejar VMIP3P0 1
tecnología tecnología NCFS000 1
de de SPS00 0.999984
punta punta NCCS000 1
( ( Fpa 1
cámaras cámara NCFP000 1
thermacam thermacam NCMS000 0.700265
flir flir VMN0000 1
p660 p660 Z 1
y y CC 0.999962
e y CC 0.980427
, , Fc 1
nec nec RG 0.0770614
