*** *** Fz 1
descripcion descripcion VMIS3P0 0.923476
: : Fd 1
objetivo objetivo NCMS000 0.809524
general general AQ0CS0 0.927632
construir construir VMN0000 1
una uno DI0FS0 0.951575
unidad unidad NCFS000 1
de de SPS00 0.999984
producción producción NCFS000 1
de de SPS00 0.999984
propiedad propiedad NCFS000 1
social social AQ0CS0 0.995283
recicladora recicladora AQ0FS0 0.833275
de de SPS00 0.999984
polietilentereftalato polietilentereftalato NCMS000 1
( ( Fpa 1
pet pet NCMS000 0.818202
) ) Fpt 1
. . Fp 1

plan plan NCMS000 1
de de SPS00 0.999984
accion accion VMIS3P0 0.923476
para para SPS00 0.999103
implementar implementar VMN0000 1
la el DA0FS0 0.972269
alternativa alternativa NCFS000 0.822581
cientifica cientifica VMIP3S0 1
tecnologica tecnólogo NCFS00D 0.519301
• • Fz 1
caracterizar caracterizar VMN0000 1
las el DA0FP0 0.970954
condiciones condición NCFP000 0.991071
ambientales ambiental AQ0CP0 0.965
actuales actual AQ0CP0 1
de de SPS00 0.999984
los el DA0MP0 0.976481
residuos residuo NCMP000 1
sólidos sólido AQ0MP0 0.55727
existentes existente AQ0CP0 1
en en SPS00 1
la el DA0FS0 0.972269
comuna comuna NCFS000 1
en en SPS00 1
construcción construcción NCFS000 1
“ “ Fz 1
general general AQ0CS0 0.927632
manuel manuel AQ0CS0 0.79995
cedeño cedeño NCMS000 0.608033
” ” Fz 1
de de SPS00 0.999984
la el DA0FS0 0.972269
parroquia parroquia NCFS000 1
santa santo AQ0FS0 0.557217
rosa rosa NCFS000 0.255814
, , Fc 1
estado estado NCMS000 0.665746
carabobo carabobo AQ0MS0 0.199962
. . Fp 1

• • Fz 1
implementar implementar VMN0000 1
el el DA0MS0 1
método método NCMS000 1
de de SPS00 0.999984
reciclaje reciclaje NCMS000 1
más más RG 1
conveniente conveniente AQ0CS0 1
para para SPS00 0.999103
cada cada DI0CS0 1
material material NCMS000 0.581967
de de SPS00 0.999984
desecho desecho NCMS000 0.947413
. . Fp 1

• • Fz 1
seleccionar seleccionar VMN0000 1
el el DA0MS0 1
sistema sistema NCMS000 1
de de SPS00 0.999984
reciclaje reciclaje NCMS000 1
más más RG 1
aplicable aplicable AQ0CS0 1
, , Fc 1
adaptando adaptar VMG0000 1
lo lo PP3CNA00 0.5 lo PP3MSA00 0.5
a a SPS00 0.996023
las el DA0FP0 0.970954
necesidades necesidad NCFP000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
comunidades comunidad NCFP000 1
. . Fp 1

• • Fz 1
recolectar recolectar VMN0000 1
los el DA0MP0 0.976481
diferentes diferente AQ0CP0 1
tipos tipo NCMP000 1
de de SPS00 0.999984
desechos desecho NCMP000 1
inorgánicos inorgánico AQ0MP0 1
y y CC 0.999962
adaptar adaptar VMN0000 1
los lo PP3MPA00 1
a a SPS00 0.996023
la el DA0FS0 0.972269
recuperación recuperación NCFS000 1
única único AQ0FS0 1
de de SPS00 1
el el DA0MS0 1
( ( Fpa 1
pet pet NCMS000 0.818202
) ) Fpt 1
. . Fp 1

• • Fz 1
implementar implementar VMN0000 1
un uno DI0MS0 0.987295
centro centro NCMS000 0.992958
de de SPS00 0.999984
acopio acopio NCMS000 0.973497
en en SPS00 1
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
donde donde PR000000 0.967437
se se P00CN000 0.465639
realizará realizar VMIF3S0 1
los el DA0MP0 0.976481
diferentes diferente AQ0CP0 1
mecanismos mecanismo NCMP000 1
de de SPS00 0.999984
clasificación clasificación NCFS000 1
para para SPS00 0.999103
el el DA0MS0 1
( ( Fpa 1
pet pet NCMS000 0.818202
) ) Fpt 1
. . Fp 1

• • Fz 1
gestionar gestionar VMN0000 1
la el DA0FS0 0.972269
participación participación NCFS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
instituciones institución NCFP000 1
educativas educativo AQ0FP0 1
, , Fc 1
centros centro NCMP000 1
de de SPS00 0.999984
comercios comercio NCMP000 1
y y CC 0.999962
ciudadanos ciudadano NCMP000 0.64273
para para SPS00 0.999103
la el DA0FS0 0.972269
recolección recolección NCFS000 1
y y CC 0.999962
clasificación clasificación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
desechos desecho NCMP000 1
urbanos urbano AQ0MP0 0.465406
. . Fp 1

• • Fz 1
educar educar VMN0000 1
a a SPS00 0.996023
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
para para SPS00 0.999103
realizar realizar VMN0000 1
la el DA0FS0 0.972269
clasificación clasificación NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
desechos desecho NCMP000 1
inorgánicos inorgánico AQ0MP0 1
en en SPS00 1
los el DA0MP0 0.976481
diferentes diferente AQ0CP0 1
contenedores contenedor NCMP000 0.64271
de de SPS00 0.999984
recolección recolección NCFS000 1
. . Fp 1

• • Fz 1
poner_en_funcionamiento poner_en_funcionamiento VMN0000 1
depósitos depósito NCMP000 1
de de SPS00 0.999984
almacenamiento almacenamiento NCMS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
diferentes diferente AQ0CP0 1
materiales material NCMP000 0.994186
a a SPS00 0.996023
recolectar recolectar VMN0000 1
en en SPS00 1
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
. . Fp 1

• • Fz 1
establecer establecer VMN0000 1
rutas ruta NCFP000 1
de de SPS00 0.999984
recolección recolección NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
basura basura NCFS000 1
depositada depositar VMP00SF 1
en en SPS00 1
los el DA0MP0 0.976481
diferentes diferente AQ0CP0 1
contenedores contenedor NCMP000 0.64271
, , Fc 1
ubicados ubicar VMP00PM 1
en en SPS00 1
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
. . Fp 1

• • Fz 1
almacenar almacenar VMN0000 1
materiales material NCMP000 0.994186
recolectados recolectar VMP00PM 1
en en SPS00 1
la el DA0FS0 0.972269
comunidad comunidad NCFS000 1
en en SPS00 1
un uno DI0MS0 0.987295
galpón galpón NCMS000 1
de de SPS00 0.999984
acopio acopio NCMS000 0.973497
, , Fc 1
para para SPS00 0.999103
el el DA0MS0 1
posterior posterior AQ0CS0 1
procesamiento procesamiento NCMS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
materiales material NCMP000 0.994186
. . Fp 1

• • Fz 1
recolectar recolectar VMN0000 1
semanalmente semanalmente RG 1
, , Fc 1
por_lo_menos por_lo_menos RG 1
, , Fc 1
2 2 Z 1
toneladas tonelada NCFP000 1
de de SPS00 0.999984
materiales material NCMP000 0.994186
plásticos plástico AQ0MP0 0.45731
, , Fc 1
entre entre SPS00 0.998082
las el DA0FP0 0.970954
comunidades comunidad NCFP000 1
que que PR0CN000 0.562517
conforman conformar VMIP3P0 1
la el DA0FS0 0.972269
parroquia parroquia NCFS000 1
santa santo AQ0FS0 0.557217
rosa rosa AQ0CS0 0.488372
. . Fp 1

• • Fz 1
