respaldo respaldo NCMS000 0.973497
en en SPS00 1
términos término NCMP000 1
de de SPS00 0.999984
un uno DI0MS0 0.987295
mejor mejor AQ0CS0 0.873665
perfil perfil NCMS000 1
de de SPS00 0.999984
tensiones tensión NCFP000 1
para para SPS00 0.999103
el el DA0MS0 1
área área NCFS000 1
y y CC 0.999962
por_ende por_ende RG 1
permitirá permitir VMIF3S0 1
disminuir disminuir VMN0000 1
la el DA0FS0 0.972269
cargabilidad cargabilidad NCFS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
transformadores transformador NCMP000 0.642703
principales principal AQ0CP0 0.65727
alimentadores alimentador NCMP000 0.557063
en en SPS00 1
las el DA0FP0 0.970954
subestaciones subestación NCFP000 1
adyacentes adyacente AQ0CP0 1
. . Fp 1

así así RG 0.998812
mismo mismo AQ0MS0 0.968254
, , Fc 1
se se P00CN000 0.465639
espera esperar VMIP3S0 0.650794
que que CS 0.437483
la el DA0FS0 0.972269
entrada entrada NCFS000 0.608153
en en SPS00 1
operación operación NCFS000 1
de de SPS00 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
mejore mejorar VMSP3S0 0.618941
las el DA0FP0 0.970954
condiciones condición NCFP000 0.991071
de de SPS00 0.999984
control control NCMS000 1
de de SPS00 0.999984
los el DA0MP0 0.976481
perfiles perfil NCMP000 0.995706
de de SPS00 0.999984
voltaje voltaje NCMS000 1
de de SPS00 0.999984
las el DA0FP0 0.970954
barras barra NCFP000 0.95625
de de SPS00 0.999984
influencia influencia NCFS000 0.953488
de de SPS00 0.999984
la el DA0FS0 0.972269
subestación subestación NCFS000 1
cuatricentenario cuatricentenario AQ0MS0 0.357423
, , Fc 1
contribuyendo contribuir VMG0000 1
de de SPS00 0.999984
esta este DD0FS0 0.986779
forma forma NCFS000 0.970944
a a SPS00 0.996023
controlar controlar VMN0000 1
eventuales eventual AQ0CP0 0.657226
sobrecargas sobrecarga NCFP000 0.973497
o o CC 0.999769
limitaciones limitación NCFP000 1
a a SPS00 1
el el DA0MS0 1
suministro suministro NCMS000 0.973497
de de SPS00 0.999984
potencia potencia NCFS000 0.972603
, , Fc 1
ante ante SPS00 0.998084
la el DA0FS0 0.972269
indisponibilidad indisponibilidad NCFS000 1
de de SPS00 0.999984
uno uno PI0MS000 0.969022
de de SPS00 0.999984
los el DA0MP0 0.976481
equipos equipo NCMP000 1
transformadores transformador AQ0MP0 0.357297
de de SPS00 0.999984
la el DA0FS0 0.972269
mencionada mencionar VMP00SF 1
subestación subestación NCFS000 1
. . Fp 1

desarrollo desarrollo NCMS000 0.992424
de de SPS00 0.999984
la el DA0FS0 0.972269
minería minería NCFS000 1
en en SPS00 1
la el DA0FS0 0.972269
región región NCFS000 1
de de SPS00 1
el el DA0MS0 1
guasare guasare VMSP3S0 1
. . Fp 1

el el DA0MS0 1
funcionamiento funcionamiento NCMS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
planta planta NCFS000 0.953488
generadora generador AQ0FS0 1
permitirá permitir VMIF3S0 1
incentivar incentivar VMN0000 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.992424
sostenible sostenible AQ0CS0 1
y y CC 0.999962
formal formal AQ0CS0 1
de de SPS00 0.999984
la el DA0FS0 0.972269
industria industria NCFS000 0.939394
de de SPS00 1
el el DA0MS0 1
carbón carbón NCMS000 1
, , Fc 1
especialmente especialmente RG 1
el el DA0MS0 1
de de SPS00 0.999984
carbón carbón NCMS000 1
no no RN 0.998134
exportable exportable AQ0CS0 1
, , Fc 1
elemento elemento NCMS000 0.97619
esencial esencial AQ0CS0 1
para para SPS00 0.999103
el el DA0MS0 1
impulso impulso NCMS000 0.980769
de de SPS00 0.999984
la el DA0FS0 0.972269
minería minería NCFS000 1
en en SPS00 1
el el DA0MS0 1
municipio municipio NCMS000 1
mara mara NCFS000 0.714265
. . Fp 1

impacto impacto NCMS000 0.973497
social social AQ0CS0 0.995283
la el DA0FS0 0.972269
construcción construcción NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
planta planta NCFS000 0.953488
termoeléctrica termoeléctrico AQ0FS0 1
generará generar VMIF3S0 1
importantes importante AQ0CP0 1
beneficios beneficio NCMP000 1
sociales social AQ0CP0 0.986111
para para SPS00 0.999103
la el DA0FS0 0.972269
población población NCFS000 1
de de SPS00 1
el el DA0MS0 1
municipio municipio NCMS000 1
mara mara NCFS000 0.714265
, , Fc 1
debido_a debido_a SPS00 1
el el DA0MS0 1
desarrollo desarrollo NCMS000 0.992424
de de SPS00 0.999984
las el DA0FP0 0.970954
obras obra NCFP000 0.986111
civiles civil AQ0CP0 0.980769
y y CC 0.999962
a a SPS00 0.996023
la el DA0FS0 0.972269
construcción construcción NCFS000 1
de de SPS00 0.999984
la el DA0FS0 0.972269
planta planta NCFS000 0.953488
y y CC 0.999962
el el DA0MS0 1
mejoramiento mejoramiento NCMS000 1
de de SPS00 0.999984
vías vía NCFP000 1
en en SPS00 1
el el DA0MS0 1
área área NCFS000 1
de de SPS00 0.999984
influencia influencia NCFS000 0.953488
de de SPS00 1
el el DA0MS0 1
proyecto proyecto NCMS000 0.986111
. . Fp 1
de de SPS00 0.999984
igual igual RG 0.264249
manera manera NCFS000 1
, , Fc 1
una uno DI0FS0 0.951575
vez vez NCFS000 1
la el DA0FS0 0.972269
planta planta NCFS000 0.953488
generadora generador AQ0FS0 1
entre_en_funcionamiento entrar_en_funcionamiento VMSP1S0 0.455631
se se P00CN000 0.465639
crearán crear VMIF3P0 1
alrededor_de alrededor_de SPS00 1
150 150 Z 1
empleos empleo NCMP000 1
directos directo AQ0MP0 0.65727
y y CC 0.999962
200 200 Z 1
empleos empleo NCMP000 1
